workload,split,signoff_total_mW,capstone_prediction_mW,oracle_prediction_mW,capstone_ape_percent,oracle_ape_percent,is_synthetic
vec_elemadd,train,67.3546156,67.39878250899858,68.73676252574299,0.06557369321335205,2.0520448575509156,True
tensor3_ttv,train,96.6287607,103.6910090918586,98.31986845798836,7.30864014057318,1.7501080897008363,True
mat_elemmul,train,116.39519700000001,115.65139416208852,117.36396857270213,0.6390322428093731,0.8323123270302332,True
mat_mask_tri,train,153.249215,160.88272640815237,154.47780322419302,4.98110963123196,0.8016929967263013,True
mat_sddmm,train,187.817087,198.5278671941384,188.78511741288227,5.702771970975361,0.5154112590843694,True
mat_mattransmul,train,180.619363,177.82040200976792,180.54006030829115,1.549646141887941,0.04390597463730777,True
tensor3_mttkrp,train,217.773571,203.9248866610888,216.45754357677242,6.359212587330534,0.604309979941313,True
tensor3_innerprod,train,151.294477,141.81069856716323,151.24186547414925,6.268423422248766,0.03477425408645303,True
harris,heldout,169.67567499999998,146.83693177772085,168.3082582641809,13.460234192248912,0.8059002775849229,True
unsharp,heldout,206.003327,171.6909985895556,203.36604353729868,16.656201096424244,1.280214014553917,True
gaussian,heldout,110.586405,88.48811066527719,109.86356273706261,19.98283092277284,0.6536447793355711,True
