workload,reference_workload,signoff_total_mW,all_calibration_prediction_mW,reference_calibration_prediction_mW,percent_difference_all,percent_difference_reference,vecadd_only_scale_factor,is_synthetic
vec_elemadd,vec_elemadd,67.3546156,73.08168449036637,67.3546156,8.502860330133586,0.0,0.9216346895900941,True
tensor3_ttv,vec_elemadd,96.6287607,109.9856656110059,101.3666047847593,13.822908225507128,4.903140690657024,0.9216346895900941,True
mat_elemmul,vec_elemadd,116.39519700000001,122.3613014288019,112.77242006017377,5.125730771177683,3.1124797527738517,0.9216346895900941,True
mat_mask_tri,vec_elemadd,153.249215,168.00238469973706,154.83682567313775,9.626913716808973,1.035966594111272,0.9216346895900941,True
mat_sddmm,vec_elemadd,187.817087,205.42228591656297,189.32430471559908,9.373587460955022,0.8024923289322964,0.9216346895900941,True
mat_mattransmul,vec_elemadd,180.619363,184.50084976396,170.04238340131585,2.148987073971686,5.855950006137574,0.9216346895900941,True
tensor3_mttkrp,vec_elemadd,217.773571,211.07426768496987,194.53336717829364,3.0762701296890316,10.671728307061814,0.9216346895900941,True
tensor3_innerprod,vec_elemadd,151.294477,149.02412179696125,137.34580023377876,1.5006200147271385,9.219554502456319,0.9216346895900941,True
harris,vec_elemadd,169.67567499999998,153.77141980798888,141.7210747625639,9.37332660796022,16.47531399974457,0.9216346895900941,True
unsharp,vec_elemadd,206.003327,178.79802161276126,164.78645914840016,13.206245638566191,20.007865140741078,0.9216346895900941,True
gaussian,vec_elemadd,110.586405,94.88486763271253,87.44918552747218,14.198433674815156,20.92230005354439,0.9216346895900941,True
